run_id,algorithm,found_all,found_count,total_targets,discovery_rate,num_false_negatives,frames,distance,use_grid_map,map_width,map_height,cell_size,obstacle_density,seed,stop_reason
0,frontier,1,3,3,1.0,1,1475,4425.0,1,1000,800,20,0.02,200,success
1,frontier,1,3,3,1.0,0,927,2781.0,1,1000,800,20,0.02,201,success
2,frontier,1,3,3,1.0,2,946,2838.0,1,1000,800,20,0.02,202,success
3,frontier,1,3,3,1.0,0,833,2499.0,1,1000,800,20,0.02,203,success
4,frontier,1,3,3,1.0,0,1767,5301.0,1,1000,800,20,0.02,204,success
5,frontier,1,3,3,1.0,0,1354,4062.0,1,1000,800,20,0.02,205,success
6,frontier,1,3,3,1.0,0,897,2691.0,1,1000,800,20,0.02,206,success
7,frontier,1,3,3,1.0,0,1273,3819.0,1,1000,800,20,0.02,207,success
8,frontier,1,3,3,1.0,2,1429,4287.0,1,1000,800,20,0.02,208,success
9,frontier,1,3,3,1.0,0,1392,4176.0,1,1000,800,20,0.02,209,success

SUMMARY,success_rate,1.0,avg_discovery_rate,1.0
