run_id,algorithm,found_all,found_count,total_targets,discovery_rate,num_false_negatives,frames,distance,use_grid_map,map_width,map_height,cell_size,obstacle_density,seed,stop_reason
0,information_gain,1,3,3,1.0,0,1276,3825.3,1,1000,800,20,0.02,200,success
1,information_gain,1,3,3,1.0,0,1754,5246.7,1,1000,800,20,0.02,201,success
2,information_gain,1,3,3,1.0,2,2381,7120.5,1,1000,800,20,0.02,202,success
3,information_gain,1,3,3,1.0,0,1597,4786.5,1,1000,800,20,0.02,203,success
4,information_gain,1,3,3,1.0,1,1394,4177.5,1,1000,800,20,0.02,204,success
5,information_gain,1,3,3,1.0,0,1404,4196.7,1,1000,800,20,0.02,205,success
6,information_gain,1,3,3,1.0,0,928,2782.2,1,1000,800,20,0.02,206,success
7,information_gain,1,3,3,1.0,3,1017,3045.6,1,1000,800,20,0.02,207,success
8,information_gain,1,3,3,1.0,2,1770,5301.0,1,1000,800,20,0.02,208,success
9,information_gain,1,3,3,1.0,1,1415,4236.9,1,1000,800,20,0.02,209,success

SUMMARY,success_rate,1.0,avg_discovery_rate,1.0
