run_id,algorithm,found_all,found_count,total_targets,discovery_rate,num_false_negatives,frames,distance,use_grid_map,map_width,map_height,cell_size,obstacle_density,seed,stop_reason
0,random,1,3,3,1.0,0,2560,7641.0,1,1000,800,20,0.02,200,success
1,random,0,2,3,0.6667,0,5000,14916.0,1,1000,800,20,0.02,201,timeout
2,random,1,3,3,1.0,1,3161,9456.0,1,1000,800,20,0.02,202,success
3,random,1,3,3,1.0,1,4644,13905.0,1,1000,800,20,0.02,203,success
4,random,1,3,3,1.0,0,4213,12567.0,1,1000,800,20,0.02,204,success
5,random,1,3,3,1.0,1,2238,6690.0,1,1000,800,20,0.02,205,success
6,random,1,3,3,1.0,0,2641,7845.0,1,1000,800,20,0.02,206,success
7,random,0,2,3,0.6667,0,5000,14865.0,1,1000,800,20,0.02,207,timeout
8,random,1,3,3,1.0,3,1484,4437.0,1,1000,800,20,0.02,208,success
9,random,0,2,3,0.6667,0,5000,14937.0,1,1000,800,20,0.02,209,timeout

SUMMARY,success_rate,0.7,avg_discovery_rate,0.9
