时间帧,x坐标,y坐标,累计距离,已发现目标数,是否完成
0,373,490,3.0,0,0
1,376,490,6.0,0,0
2,379,490,9.0,0,0
3,382,490,12.0,0,0
4,385,490,15.0,0,0
5,388,490,18.0,0,0
6,391,490,21.0,0,0
7,394,490,24.0,0,0
8,397,490,27.0,0,0
9,400,490,30.0,0,0
10,403,490,33.0,0,0
11,406,490,36.0,0,0
12,409,490,39.0,0,0
13,412,490,42.0,0,0
14,415,490,45.0,0,0
15,418,490,48.0,0,0
16,421,490,51.0,0,0
17,424,490,54.0,0,0
18,427,490,57.0,0,0
19,430,490,60.0,0,0
20,433,490,63.0,0,0
21,436,490,66.0,0,0
22,439,490,69.0,0,0
23,442,490,72.0,0,0
24,445,490,75.0,0,0
25,448,490,78.0,0,0
26,451,490,81.0,0,0
27,454,490,84.0,0,0
28,457,490,87.0,0,0
29,460,490,90.0,0,0
30,463,490,93.0,0,0
31,466,490,96.0,0,0
32,469,490,99.0,0,0
33,472,490,102.0,0,0
34,475,490,105.0,0,0
35,478,490,108.0,0,0
36,481,490,111.0,0,0
37,484,490,114.0,0,0
38,487,490,117.0,0,0
39,490,490,120.0,0,0
40,493,490,123.0,0,0
41,496,490,126.0,0,0
42,499,490,129.0,0,0
43,502,490,132.0,0,0
44,505,490,135.0,0,0
45,508,490,138.0,0,0
46,511,490,141.0,0,0
47,514,490,144.0,0,0
48,517,490,147.0,0,0
49,520,490,150.0,0,0
50,523,490,153.0,0,0
51,526,490,156.0,0,0
52,529,490,159.0,0,0
53,532,490,162.0,0,0
54,535,490,165.0,0,0
55,538,490,168.0,0,0
56,541,490,171.0,0,0
57,544,490,174.0,0,0
58,547,490,177.0,0,0
59,550,490,180.0,0,0
60,553,490,183.0,0,0
61,556,490,186.0,0,0
62,559,490,189.0,0,0
63,559,490,190.2,0,0
64,559,493,193.2,0,0
65,559,496,196.2,0,0
66,559,499,199.2,0,0
67,562,500,202.2,0,0
68,565,500,205.2,0,0
69,568,500,208.2,0,0
70,571,500,211.2,0,0
71,574,500,214.2,0,0
72,577,500,217.2,0,0
73,580,500,220.2,0,0
74,583,500,223.2,0,0
75,586,500,226.2,0,0
76,589,500,229.2,0,0
77,592,500,232.2,0,0
78,595,500,235.2,0,0
79,598,500,238.2,0,0
80,601,500,241.2,0,0
81,604,500,244.2,0,0
82,607,500,247.2,0,0
83,610,500,250.2,0,0
84,613,500,253.2,0,0
85,616,500,256.2,0,0
86,619,500,259.2,0,0
87,622,500,262.2,0,0
88,625,500,265.2,0,0
89,628,500,268.2,0,0
90,631,500,271.2,0,0
91,634,500,274.2,0,0
92,637,500,277.2,0,0
93,640,500,280.2,0,0
94,643,500,283.2,0,0
95,646,500,286.2,0,0
96,649,500,289.2,0,0
97,652,500,292.2,0,0
98,655,500,295.2,0,0
99,658,500,298.2,0,0
100,661,500,301.2,0,0
101,664,500,304.2,0,0
102,667,500,307.2,0,0
103,670,500,310.2,0,0
104,673,500,313.2,0,0
105,676,500,316.2,0,0
106,679,500,319.2,0,0
107,682,499,322.2,0,0
108,685,499,325.2,0,0
109,688,499,328.2,0,0
110,691,499,331.2,0,0
111,694,499,334.2,0,0
112,697,499,337.2,0,0
113,700,499,340.2,0,0
114,703,499,343.2,0,0
115,706,499,346.2,0,0
116,709,499,349.2,0,0
117,712,499,352.2,0,0
118,715,499,355.2,0,0
119,718,499,358.2,0,0
120,721,499,361.2,0,0
121,724,499,364.2,0,0
122,727,499,367.2,0,0
123,730,499,370.2,0,0
124,733,499,373.2,0,0
125,736,499,376.2,0,0
126,739,499,379.2,0,0
127,742,499,382.2,0,0
128,745,499,385.2,0,0
129,748,499,388.2,0,0
130,751,499,391.2,0,0
131,754,499,394.2,0,0
132,757,499,397.2,0,0
133,760,499,400.2,0,0
134,763,499,403.2,0,0
135,766,499,406.2,0,0
136,769,499,409.2,0,0
137,772,499,412.2,0,0
138,775,499,415.2,0,0
139,778,499,418.2,0,0
140,781,499,421.2,0,0
141,784,499,424.2,0,0
142,787,499,427.2,0,0
143,790,499,430.2,0,0
144,793,499,433.2,0,0
145,796,499,436.2,0,0
146,799,499,439.2,0,0
147,802,499,442.2,0,0
148,805,499,445.2,0,0
149,808,499,448.2,0,0
150,811,499,451.2,0,0
151,814,499,454.2,0,0
152,817,499,457.2,0,0
153,820,499,460.2,0,0
154,823,499,463.2,0,0
155,826,499,466.2,0,0
156,829,499,469.2,0,0
157,832,499,472.2,0,0
158,835,499,475.2,0,0
159,838,499,478.2,0,0
160,841,499,481.2,0,0
161,844,499,484.2,0,0
162,847,499,487.2,0,0
163,850,499,490.2,0,0
164,853,499,493.2,0,0
165,856,499,496.2,0,0
166,859,499,499.2,0,0
167,862,499,502.2,0,0
168,865,499,505.2,0,0
169,868,499,508.2,0,0
170,871,499,511.2,0,0
171,874,499,514.2,0,0
172,877,499,517.2,0,0
173,880,499,520.2,0,0
174,883,499,523.2,0,0
175,886,499,526.2,0,0
176,888,501,529.2,0,0
177,890,504,532.2,0,0
178,893,506,535.2,0,0
179,895,508,538.2,0,0
180,897,510,541.2,0,0
181,899,512,544.2,0,0
182,901,514,547.2,0,0
183,903,516,550.2,0,0
184,905,518,553.2,0,0
185,907,521,556.2,0,0
186,909,523,559.2,0,0
187,909,526,562.2,0,0
188,909,529,565.2,0,0
189,909,532,568.2,0,0
190,909,535,571.2,0,0
191,909,538,574.2,0,0
192,909,541,577.2,0,0
193,909,544,580.2,0,0
194,909,547,583.2,0,0
195,909,550,586.2,0,0
196,909,553,589.2,0,0
197,909,556,592.2,0,0
198,909,559,595.2,0,0
199,909,562,598.2,0,0
200,909,565,601.2,0,0
201,909,568,604.2,0,0
202,909,571,607.2,1,0
203,909,574,610.2,1,0
204,909,577,613.2,1,0
205,909,580,616.2,1,0
206,909,583,619.2,1,0
207,909,586,622.2,1,0
208,909,589,625.2,1,0
209,909,592,628.2,1,0
210,909,595,631.2,1,0
211,909,598,634.2,1,0
212,909,601,637.2,1,0
213,909,604,640.2,1,0
214,909,607,643.2,1,0
215,909,610,646.2,1,0
216,909,613,649.2,1,0
217,909,616,652.2,1,0
218,909,619,655.2,1,0
219,909,622,658.2,1,0
220,909,625,661.2,1,0
221,909,628,664.2,1,0
222,909,631,667.2,1,0
223,909,634,670.2,1,0
224,909,637,673.2,1,0
225,909,640,676.2,1,0
226,909,643,679.2,1,0
227,909,646,682.2,1,0
228,909,649,685.2,1,0
229,909,652,688.2,1,0
230,909,655,691.2,1,0
231,909,658,694.2,1,0
232,909,661,697.2,1,0
233,909,664,700.2,1,0
234,909,667,703.2,1,0
235,909,670,706.2,1,0
236,909,673,709.2,1,0
237,909,676,712.2,1,0
238,909,679,715.2,1,0
239,909,682,718.2,1,0
240,909,685,721.2,1,0
241,909,688,724.2,1,0
242,907,690,727.2,1,0
243,905,692,730.2,1,0
244,903,694,733.2,1,0
245,901,696,736.2,1,0
246,899,698,739.2,1,0
247,897,700,742.2,1,0
248,895,703,745.2,1,0
249,893,705,748.2,1,0
250,890,707,751.2,1,0
251,888,709,754.2,1,0
252,886,711,757.2,1,0
253,883,711,760.2,1,0
254,880,711,763.2,1,0
255,877,711,766.2,1,0
256,874,711,769.2,1,0
257,871,711,772.2,1,0
258,868,711,775.2,1,0
259,865,711,778.2,1,0
260,862,711,781.2,1,0
261,859,711,784.2,1,0
262,856,711,787.2,1,0
263,853,711,790.2,1,0
264,850,711,793.2,1,0
265,847,711,796.2,1,0
266,844,711,799.2,1,0
267,841,711,802.2,1,0
268,838,711,805.2,1,0
269,835,711,808.2,1,0
270,832,711,811.2,1,0
271,829,711,814.2,1,0
272,826,711,817.2,1,0
273,823,711,820.2,1,0
274,820,711,823.2,1,0
275,817,711,826.2,1,0
276,814,711,829.2,1,0
277,811,711,832.2,1,0
278,808,711,835.2,1,0
279,805,711,838.2,1,0
280,802,711,841.2,1,0
281,799,711,844.2,1,0
282,796,711,847.2,1,0
283,793,711,850.2,1,0
284,790,711,853.2,1,0
285,787,711,856.2,1,0
286,784,711,859.2,1,0
287,781,711,862.2,1,0
288,778,711,865.2,1,0
289,775,711,868.2,1,0
290,772,711,871.2,1,0
291,769,711,874.2,1,0
292,766,711,877.2,1,0
293,763,711,880.2,1,0
294,760,711,883.2,1,0
295,757,711,886.2,1,0
296,754,711,889.2,1,0
297,751,711,892.2,1,0
298,748,711,895.2,1,0
299,745,711,898.2,1,0
300,742,711,901.2,1,0
301,739,711,904.2,1,0
302,736,711,907.2,1,0
303,733,711,910.2,1,0
304,730,711,913.2,1,0
305,727,711,916.2,1,0
306,724,711,919.2,1,0
307,721,711,922.2,1,0
308,718,711,925.2,1,0
309,715,711,928.2,1,0
310,712,711,931.2,1,0
311,709,711,934.2,1,0
312,706,711,937.2,1,0
313,703,711,940.2,1,0
314,700,711,943.2,1,0
315,697,711,946.2,1,0
316,694,711,949.2,1,0
317,691,711,952.2,1,0
318,688,711,955.2,1,0
319,685,711,958.2,1,0
320,682,711,961.2,1,0
321,679,711,964.2,1,0
322,676,711,967.2,1,0
323,673,711,970.2,1,0
324,670,711,973.2,1,0
325,667,711,976.2,1,0
326,664,711,979.2,1,0
327,661,711,982.2,1,0
328,658,711,985.2,1,0
329,655,711,988.2,1,0
330,652,711,991.2,1,0
331,649,711,994.2,1,0
332,646,711,997.2,1,0
333,643,711,1000.2,1,0
334,640,711,1003.2,1,0
335,637,711,1006.2,1,0
336,634,711,1009.2,1,0
337,631,711,1012.2,1,0
338,628,711,1015.2,1,0
339,625,711,1018.2,1,0
340,622,711,1021.2,1,0
341,619,711,1024.2,1,0
342,616,711,1027.2,1,0
343,613,711,1030.2,1,0
344,610,711,1033.2,1,0
345,607,711,1036.2,1,0
346,604,711,1039.2,1,0
347,601,711,1042.2,1,0
348,598,711,1045.2,1,0
349,595,711,1048.2,1,0
350,592,711,1051.2,1,0
351,589,711,1054.2,1,0
352,586,711,1057.2,1,0
353,583,711,1060.2,1,0
354,580,711,1063.2,1,0
355,577,711,1066.2,1,0
356,574,711,1069.2,1,0
357,571,711,1072.2,1,0
358,568,711,1075.2,1,0
359,565,711,1078.2,1,0
360,562,711,1081.2,1,0
361,559,711,1084.2,1,0
362,556,711,1087.2,1,0
363,553,711,1090.2,1,0
364,550,711,1093.2,1,0
365,547,711,1096.2,1,0
366,544,711,1099.2,1,0
367,541,711,1102.2,1,0
368,538,711,1105.2,1,0
369,535,711,1108.2,1,0
370,532,711,1111.2,1,0
371,529,711,1114.2,1,0
372,526,711,1117.2,1,0
373,523,711,1120.2,1,0
374,520,711,1123.2,1,0
375,517,711,1126.2,1,0
376,514,711,1129.2,1,0
377,511,711,1132.2,1,0
378,508,711,1135.2,1,0
379,505,711,1138.2,1,0
380,502,711,1141.2,1,0
381,499,711,1144.2,1,0
382,496,711,1147.2,1,0
383,493,711,1150.2,1,0
384,490,711,1153.2,1,0
385,487,711,1156.2,1,0
386,484,711,1159.2,1,0
387,481,711,1162.2,1,0
388,478,711,1165.2,1,0
389,475,711,1168.2,1,0
390,472,711,1171.2,1,0
391,469,711,1174.2,1,0
392,466,711,1177.2,1,0
393,463,711,1180.2,1,0
394,460,711,1183.2,1,0
395,457,711,1186.2,1,0
396,454,711,1189.2,1,0
397,451,711,1192.2,1,0
398,448,711,1195.2,1,0
399,445,711,1198.2,1,0
400,442,711,1201.2,1,0
401,439,711,1204.2,1,0
402,436,711,1207.2,1,0
403,433,711,1210.2,1,0
404,430,711,1213.2,1,0
405,427,711,1216.2,1,0
406,424,711,1219.2,1,0
407,421,711,1222.2,1,0
408,418,711,1225.2,1,0
409,415,711,1228.2,1,0
410,412,711,1231.2,1,0
411,409,711,1234.2,1,0
412,406,711,1237.2,1,0
413,403,711,1240.2,1,0
414,400,711,1243.2,1,0
415,397,711,1246.2,1,0
416,394,711,1249.2,1,0
417,391,711,1252.2,1,0
418,388,711,1255.2,1,0
419,385,711,1258.2,1,0
420,382,711,1261.2,1,0
421,379,711,1264.2,1,0
422,376,711,1267.2,1,0
423,373,711,1270.2,1,0
424,370,711,1273.2,1,0
425,367,711,1276.2,1,0
426,364,711,1279.2,1,0
427,361,711,1282.2,1,0
428,358,711,1285.2,1,0
429,355,711,1288.2,1,0
430,352,711,1291.2,1,0
431,349,711,1294.2,1,0
432,346,711,1297.2,1,0
