时间帧,x坐标,y坐标,累计距离,已发现目标数,是否完成
0,100,97,3.0,0,0
1,100,94,6.0,0,0
2,100,91,9.0,0,0
3,101,88,12.0,0,0
4,101,85,15.0,0,0
5,101,82,18.0,0,0
6,101,79,21.0,0,0
7,102,76,24.0,0,0
8,102,73,27.0,0,0
9,102,70,30.0,0,0
10,101,67,33.0,0,0
11,100,64,36.0,0,0
12,99,61,39.0,0,0
13,98,58,42.0,0,0
14,98,55,45.0,0,0
15,97,52,48.0,0,0
16,96,50,51.0,0,0
17,95,47,54.0,0,0
18,94,44,57.0,0,0
19,93,41,60.0,0,0
20,92,38,63.0,0,0
21,91,35,66.0,0,0
22,90,32,69.0,0,0
23,89,30,72.0,0,0
24,88,27,75.0,0,0
25,88,24,78.0,0,0
26,87,21,81.0,0,0
27,86,18,84.0,0,0
28,85,15,87.0,0,0
29,84,12,90.0,0,0
30,83,10,93.0,0,0
31,82,7,96.0,0,0
32,81,4,99.0,0,0
33,80,1,102.0,0,0
34,79,4,105.0,0,0
35,78,7,108.0,0,0
36,78,10,111.0,0,0
37,77,12,114.0,0,0
38,76,15,117.0,0,0
39,76,18,120.0,0,0
40,75,21,123.0,0,0
41,77,24,126.0,0,0
42,79,26,129.0,0,0
43,80,29,132.0,0,0
44,82,31,135.0,0,0
45,84,33,138.0,0,0
46,87,34,141.0,0,0
47,89,36,144.0,0,0
48,92,38,147.0,0,0
49,95,39,150.0,0,0
50,97,41,153.0,0,0
51,100,42,156.0,0,0
52,102,44,159.0,0,0
53,105,45,162.0,0,0
54,108,47,165.0,0,0
55,110,48,168.0,0,0
56,113,50,171.0,0,0
57,115,51,174.0,0,0
58,118,53,177.0,0,0
59,120,54,180.0,0,0
60,123,56,183.0,0,0
61,126,57,186.0,0,0
62,128,59,189.0,0,0
63,131,60,192.0,0,0
64,133,62,195.0,0,0
65,136,63,198.0,0,0
66,139,65,201.0,0,0
67,141,66,204.0,0,0
68,144,68,207.0,0,0
69,146,70,210.0,0,0
70,149,71,213.0,0,0
71,152,73,216.0,0,0
72,154,74,219.0,0,0
73,157,76,222.0,0,0
74,159,77,225.0,0,0
75,162,79,228.0,0,0
76,164,80,231.0,1,0
77,167,82,234.0,1,0
78,170,83,237.0,1,0
79,172,85,240.0,1,0
80,175,86,243.0,1,0
81,177,88,246.0,1,0
82,180,89,249.0,1,0
83,183,91,252.0,1,0
84,185,91,255.0,1,0
85,188,92,258.0,1,0
86,191,93,261.0,1,0
87,194,93,264.0,1,0
88,197,94,267.0,1,0
89,200,95,270.0,1,0
90,203,95,273.0,1,0
91,206,96,276.0,1,0
92,209,97,279.0,1,0
93,212,97,282.0,1,0
94,215,98,285.0,1,0
95,218,99,288.0,1,0
96,221,99,291.0,1,0
97,224,100,294.0,1,0
98,226,101,297.0,1,0
99,229,101,300.0,1,0
100,232,102,303.0,1,0
101,235,103,306.0,1,0
102,238,103,309.0,1,0
103,241,104,312.0,1,0
104,244,105,315.0,1,0
105,247,105,318.0,1,0
106,250,106,321.0,1,0
107,253,107,324.0,1,0
108,256,107,327.0,1,0
109,259,108,330.0,1,0
110,262,108,333.0,1,0
111,265,109,336.0,1,0
112,267,109,339.0,1,0
113,270,108,342.0,1,0
114,273,108,345.0,1,0
115,276,107,348.0,1,0
116,279,107,351.0,1,0
117,282,106,354.0,1,0
118,285,105,357.0,1,0
119,288,105,360.0,1,0
120,291,104,363.0,1,0
121,294,104,366.0,1,0
122,297,103,369.0,1,0
123,300,103,372.0,1,0
124,303,102,375.0,1,0
125,306,102,378.0,1,0
126,308,100,381.0,1,0
127,310,98,384.0,1,0
128,313,96,387.0,1,0
129,315,94,390.0,1,0
130,317,92,393.0,1,0
131,319,90,396.0,1,0
132,322,88,399.0,1,0
133,324,86,402.0,1,0
134,326,84,405.0,1,0
135,328,82,408.0,1,0
136,331,80,411.0,1,0
137,333,78,414.0,1,0
138,335,76,417.0,1,0
139,337,74,420.0,1,0
140,340,72,423.0,1,0
141,342,70,426.0,1,0
142,344,68,429.0,1,0
