实验组,算法,回合,随机种子,是否使用GridMap,地图宽度,地图高度,栅格大小,障碍物密度
GridMap搜索实验,random,0,200,1,1000,800,20,0.02
GridMap搜索实验,random,1,201,1,1000,800,20,0.02
GridMap搜索实验,random,2,202,1,1000,800,20,0.02
GridMap搜索实验,random,3,203,1,1000,800,20,0.02
GridMap搜索实验,random,4,204,1,1000,800,20,0.02
GridMap搜索实验,coverage,0,200,1,1000,800,20,0.02
GridMap搜索实验,coverage,1,201,1,1000,800,20,0.02
GridMap搜索实验,coverage,2,202,1,1000,800,20,0.02
GridMap搜索实验,coverage,3,203,1,1000,800,20,0.02
GridMap搜索实验,coverage,4,204,1,1000,800,20,0.02
GridMap搜索实验,frontier,0,200,1,1000,800,20,0.02
GridMap搜索实验,frontier,1,201,1,1000,800,20,0.02
GridMap搜索实验,frontier,2,202,1,1000,800,20,0.02
GridMap搜索实验,frontier,3,203,1,1000,800,20,0.02
GridMap搜索实验,frontier,4,204,1,1000,800,20,0.02
GridMap搜索实验,information_gain,0,200,1,1000,800,20,0.02
GridMap搜索实验,information_gain,1,201,1,1000,800,20,0.02
GridMap搜索实验,information_gain,2,202,1,1000,800,20,0.02
GridMap搜索实验,information_gain,3,203,1,1000,800,20,0.02
GridMap搜索实验,information_gain,4,204,1,1000,800,20,0.02
视觉搜索实验,随机搜索,0,200,0,1200,800,,0.0
视觉搜索实验,模板匹配引导搜索,0,200,0,1200,800,,0.0
视觉搜索实验,随机搜索,1,201,0,1200,800,,0.0
视觉搜索实验,模板匹配引导搜索,1,201,0,1200,800,,0.0
视觉搜索实验,随机搜索,2,202,0,1200,800,,0.0
视觉搜索实验,模板匹配引导搜索,2,202,0,1200,800,,0.0
视觉搜索实验,随机搜索,3,203,0,1200,800,,0.0
视觉搜索实验,模板匹配引导搜索,3,203,0,1200,800,,0.0
视觉搜索实验,随机搜索,4,204,0,1200,800,,0.0
视觉搜索实验,模板匹配引导搜索,4,204,0,1200,800,,0.0
