时间帧,x坐标,y坐标,累计距离,已发现目标数,是否完成
0,313,30,3.0,0,0
1,316,30,6.0,0,0
2,319,30,9.0,0,0
3,322,30,12.0,0,0
4,325,30,15.0,0,0
5,328,30,18.0,0,0
6,331,30,21.0,0,0
7,334,30,24.0,0,0
8,337,30,27.0,0,0
9,340,30,30.0,0,0
10,343,30,33.0,0,0
11,346,30,36.0,0,0
12,349,30,39.0,0,0
13,352,30,42.0,0,0
14,355,30,45.0,0,0
15,358,30,48.0,0,0
16,361,30,51.0,0,0
17,364,30,54.0,0,0
18,367,30,57.0,0,0
19,370,30,60.0,0,0
20,373,30,63.0,0,0
21,376,30,66.0,0,0
22,379,30,69.0,0,0
23,382,30,72.0,0,0
24,385,30,75.0,0,0
25,388,30,78.0,0,0
26,391,30,81.0,0,0
27,394,30,84.0,0,0
28,397,30,87.0,0,0
29,400,30,90.0,0,0
30,403,30,93.0,0,0
31,406,30,96.0,0,0
32,409,30,99.0,0,0
33,412,30,102.0,0,0
34,415,30,105.0,0,0
35,418,30,108.0,0,0
36,421,30,111.0,0,0
37,424,30,114.0,0,0
38,427,30,117.0,0,0
39,430,30,120.0,0,0
40,433,30,123.0,0,0
41,436,30,126.0,0,0
42,439,30,129.0,0,0
43,442,30,132.0,0,0
44,445,30,135.0,0,0
45,448,30,138.0,0,0
46,451,30,141.0,0,0
47,454,30,144.0,0,0
48,457,30,147.0,0,0
49,460,30,150.0,0,0
50,463,30,153.0,0,0
51,466,30,156.0,0,0
52,469,30,159.0,0,0
53,472,30,162.0,0,0
54,475,30,165.0,0,0
55,478,30,168.0,0,0
56,481,30,171.0,0,0
57,484,30,174.0,0,0
58,487,30,177.0,0,0
59,490,30,180.0,0,0
60,493,30,183.0,0,0
61,496,30,186.0,0,0
62,499,30,189.0,0,0
63,502,30,192.0,0,0
64,505,30,195.0,0,0
65,508,30,198.0,0,0
66,511,30,201.0,0,0
67,514,30,204.0,0,0
68,517,30,207.0,0,0
69,520,30,210.0,0,0
70,523,30,213.0,0,0
71,526,30,216.0,0,0
72,529,30,219.0,0,0
73,532,30,222.0,0,0
74,535,30,225.0,0,0
75,538,30,228.0,0,0
76,541,30,231.0,0,0
77,544,30,234.0,0,0
78,547,30,237.0,0,0
79,550,30,240.0,0,0
80,553,30,243.0,0,0
81,556,30,246.0,0,0
82,559,30,249.0,0,0
83,562,30,252.0,0,0
84,565,30,255.0,0,0
85,568,30,258.0,0,0
86,571,30,261.0,0,0
87,574,30,264.0,0,0
88,577,30,267.0,0,0
89,580,30,270.0,0,0
90,580,32,273.0,0,0
91,580,35,276.0,0,0
92,581,38,279.0,0,0
93,581,41,282.0,0,0
94,584,41,285.0,0,0
95,587,41,288.0,0,0
96,590,41,291.0,0,0
97,593,41,294.0,0,0
98,596,41,297.0,0,0
99,599,41,300.0,0,0
100,602,41,303.0,0,0
101,605,41,306.0,0,0
102,608,41,309.0,0,0
103,611,41,312.0,0,0
104,614,41,315.0,0,0
105,617,41,318.0,0,0
106,620,41,321.0,0,0
107,623,41,324.0,0,0
108,626,41,327.0,0,0
109,629,41,330.0,0,0
110,632,41,333.0,0,0
111,635,41,336.0,0,0
112,638,41,339.0,0,0
113,641,41,342.0,0,0
114,644,41,345.0,0,0
115,647,41,348.0,0,0
116,650,41,351.0,0,0
117,653,41,354.0,0,0
118,656,41,357.0,0,0
119,659,41,360.0,0,0
120,662,41,363.0,0,0
121,665,41,366.0,0,0
122,668,41,369.0,0,0
123,671,41,372.0,0,0
124,674,41,375.0,0,0
125,677,41,378.0,0,0
126,680,41,381.0,0,0
127,683,41,384.0,0,0
128,686,41,387.0,0,0
129,689,41,390.0,0,0
130,692,41,393.0,0,0
131,695,41,396.0,0,0
132,698,41,399.0,0,0
133,701,41,402.0,0,0
134,704,41,405.0,0,0
135,707,41,408.0,0,0
136,710,41,411.0,0,0
137,713,41,414.0,0,0
138,716,41,417.0,0,0
139,719,41,420.0,0,0
140,722,41,423.0,0,0
141,725,41,426.0,0,0
142,728,41,429.0,0,0
143,731,41,432.0,0,0
144,734,41,435.0,0,0
145,737,41,438.0,0,0
146,740,41,441.0,0,0
147,743,41,444.0,0,0
148,746,41,447.0,0,0
149,749,41,450.0,0,0
150,752,41,453.0,0,0
151,755,41,456.0,0,0
152,758,41,459.0,0,0
153,761,41,462.0,0,0
154,764,41,465.0,0,0
155,767,41,468.0,0,0
156,770,41,471.0,0,0
157,773,41,474.0,0,0
158,776,41,477.0,0,0
159,779,41,480.0,0,0
160,782,41,483.0,0,0
161,785,41,486.0,0,0
162,788,41,489.0,0,0
163,791,41,492.0,0,0
164,794,41,495.0,0,0
165,797,41,498.0,0,0
166,800,41,501.0,0,0
167,803,41,504.0,0,0
168,806,41,507.0,0,0
169,809,41,510.0,0,0
170,812,41,513.0,0,0
171,815,41,516.0,0,0
172,818,41,519.0,0,0
173,821,41,522.0,0,0
174,824,41,525.0,0,0
175,827,41,528.0,0,0
176,830,41,531.0,0,0
177,833,41,534.0,0,0
178,836,41,537.0,0,0
179,839,41,540.0,0,0
180,842,41,543.0,0,0
181,845,41,546.0,0,0
182,848,41,549.0,0,0
183,851,41,552.0,0,0
184,854,41,555.0,0,0
185,857,41,558.0,0,0
186,860,41,561.0,0,0
187,863,41,564.0,0,0
188,866,41,567.0,0,0
189,869,41,570.0,0,0
190,872,41,573.0,0,0
191,875,41,576.0,0,0
192,878,41,579.0,0,0
193,881,41,582.0,0,0
194,884,41,585.0,0,0
195,887,41,588.0,0,0
196,890,41,591.0,0,0
197,893,41,594.0,0,0
198,896,41,597.0,0,0
199,899,41,600.0,0,0
200,902,41,603.0,0,0
201,905,41,606.0,0,0
202,908,41,609.0,0,0
203,911,41,612.0,0,0
204,914,41,615.0,0,0
205,917,41,618.0,0,0
206,920,41,621.0,0,0
207,923,41,624.0,0,0
208,926,41,627.0,0,0
209,929,41,630.0,0,0
210,932,41,633.0,0,0
211,935,41,636.0,0,0
212,938,41,639.0,0,0
213,941,41,642.0,0,0
214,944,41,645.0,0,0
215,947,41,648.0,0,0
216,950,41,651.0,0,0
217,953,41,654.0,0,0
218,956,41,657.0,0,0
219,959,41,660.0,0,0
220,962,41,663.0,0,0
221,965,41,666.0,0,0
222,968,41,669.0,0,0
223,971,41,672.0,0,0
224,974,41,675.0,0,0
225,974,44,678.0,0,0
226,974,47,681.0,0,0
227,974,50,684.0,0,0
228,974,53,687.0,0,0
229,974,56,690.0,0,0
230,974,59,693.0,0,0
231,974,62,696.0,0,0
232,974,65,699.0,0,0
233,971,65,702.0,0,0
234,968,65,705.0,0,0
235,965,65,708.0,0,0
236,962,65,711.0,0,0
237,959,65,714.0,0,0
238,956,65,717.0,0,0
239,953,65,720.0,0,0
240,950,65,723.0,0,0
241,947,65,726.0,0,0
242,944,65,729.0,0,0
243,941,65,732.0,0,0
244,938,65,735.0,0,0
245,935,65,738.0,0,0
246,932,65,741.0,0,0
247,929,65,744.0,0,0
248,926,65,747.0,0,0
249,923,65,750.0,0,0
250,920,65,753.0,0,0
251,917,65,756.0,0,0
252,914,65,759.0,0,0
253,911,65,762.0,0,0
