时间帧,算法,模式,匹配分数,平滑分数,x坐标,y坐标,目标是否锁定,是否发现目标,累计飞行距离,目标x,目标y
0,随机搜索,随机搜索,0.0000,0.0000,102,101,否,否,3.00,122,206
1,随机搜索,随机搜索,0.0000,0.0000,105,103,否,否,6.00,122,206
2,随机搜索,随机搜索,0.0000,0.0000,107,104,否,否,9.00,122,206
3,随机搜索,随机搜索,0.0000,0.0000,110,106,否,否,12.00,122,206
4,随机搜索,随机搜索,0.0000,0.0000,112,107,否,否,15.00,122,206
5,随机搜索,随机搜索,0.0000,0.0000,115,109,否,否,18.00,122,206
6,随机搜索,随机搜索,0.0000,0.0000,118,110,否,否,21.00,122,206
7,随机搜索,随机搜索,0.0000,0.0000,120,112,否,否,24.00,122,206
8,随机搜索,随机搜索,0.0000,0.0000,123,113,否,否,27.00,122,206
9,随机搜索,随机搜索,0.0000,0.0000,125,115,否,否,30.00,122,206
10,随机搜索,随机搜索,0.0000,0.0000,128,116,否,否,33.00,122,206
11,随机搜索,随机搜索,0.0000,0.0000,130,118,否,否,36.00,122,206
12,随机搜索,随机搜索,0.0000,0.0000,133,119,否,否,39.00,122,206
13,随机搜索,随机搜索,0.0000,0.0000,135,122,否,否,42.00,122,206
14,随机搜索,随机搜索,0.0000,0.0000,136,125,否,否,45.00,122,206
15,随机搜索,随机搜索,0.0000,0.0000,136,128,否,是,48.00,122,206
