时间帧,算法,模式,匹配分数,平滑分数,x坐标,y坐标,目标是否锁定,是否发现目标,累计飞行距离,目标x,目标y
0,模板匹配引导搜索,巡航模式,0.1435,0.1435,102,100,否,否,3.00,153,268
1,模板匹配引导搜索,巡航模式,0.1401,0.1421,105,101,否,否,6.00,153,268
2,模板匹配引导搜索,巡航模式,0.1506,0.1455,108,103,否,否,9.00,153,268
3,模板匹配引导搜索,巡航模式,0.1506,0.1475,110,104,否,否,12.00,153,268
4,模板匹配引导搜索,巡航模式,0.1506,0.1488,112,107,否,否,15.00,153,268
5,模板匹配引导搜索,巡航模式,0.1619,0.1540,114,109,否,否,18.00,153,268
6,模板匹配引导搜索,巡航模式,0.1619,0.1572,115,112,否,否,21.00,153,268
7,模板匹配引导搜索,巡航模式,0.1891,0.1699,115,115,否,否,24.00,153,268
8,模板匹配引导搜索,巡航模式,0.1891,0.1776,115,118,否,否,27.00,153,268
9,模板匹配引导搜索,巡航模式,0.1891,0.1822,115,121,否,否,30.00,153,268
10,模板匹配引导搜索,巡航模式,0.1472,0.1682,114,124,否,否,33.00,153,268
11,模板匹配引导搜索,巡航模式,0.1472,0.1598,112,127,否,否,36.00,153,268
12,模板匹配引导搜索,巡航模式,0.1472,0.1547,110,129,否,否,39.00,153,268
13,模板匹配引导搜索,巡航模式,0.1472,0.1517,108,131,否,否,42.00,153,268
14,模板匹配引导搜索,巡航模式,0.1472,0.1499,105,132,否,否,45.00,153,268
15,模板匹配引导搜索,巡航模式,0.1472,0.1488,103,134,否,否,48.00,153,268
16,模板匹配引导搜索,巡航模式,0.1472,0.1482,100,136,否,否,51.00,153,268
17,模板匹配引导搜索,巡航模式,0.1472,0.1478,98,137,否,否,54.00,153,268
18,模板匹配引导搜索,巡航模式,0.1472,0.1475,95,139,否,否,57.00,153,268
19,模板匹配引导搜索,巡航模式,0.1472,0.1474,93,141,否,否,60.00,153,268
20,模板匹配引导搜索,巡航模式,0.1472,0.1473,90,142,否,否,63.00,153,268
21,模板匹配引导搜索,巡航模式,0.1472,0.1473,88,144,否,否,66.00,153,268
22,模板匹配引导搜索,巡航模式,0.1472,0.1472,85,146,否,否,69.00,153,268
23,模板匹配引导搜索,巡航模式,0.1472,0.1472,83,147,否,否,72.00,153,268
24,模板匹配引导搜索,巡航模式,0.1472,0.1472,80,149,否,否,75.00,153,268
25,模板匹配引导搜索,巡航模式,0.1472,0.1472,78,151,否,否,78.00,153,268
26,模板匹配引导搜索,巡航模式,0.1472,0.1472,75,152,否,否,81.00,153,268
27,模板匹配引导搜索,巡航模式,0.1472,0.1472,73,154,否,否,84.00,153,268
28,模板匹配引导搜索,巡航模式,0.1472,0.1472,70,156,否,否,87.00,153,268
29,模板匹配引导搜索,巡航模式,0.1472,0.1472,68,157,否,否,90.00,153,268
30,模板匹配引导搜索,巡航模式,0.1472,0.1472,66,159,否,否,93.00,153,268
31,模板匹配引导搜索,巡航模式,0.1395,0.1441,64,162,否,否,96.00,153,268
32,模板匹配引导搜索,巡航模式,0.1395,0.1422,63,164,否,否,99.00,153,268
33,模板匹配引导搜索,巡航模式,0.1395,0.1411,62,167,否,否,102.00,153,268
34,模板匹配引导搜索,巡航模式,0.1395,0.1405,61,170,否,否,105.00,153,268
35,模板匹配引导搜索,巡航模式,0.1365,0.1389,61,173,否,否,108.00,153,268
36,模板匹配引导搜索,巡航模式,0.1365,0.1379,61,176,否,否,111.00,153,268
37,模板匹配引导搜索,巡航模式,0.1365,0.1373,61,179,否,否,114.00,153,268
38,模板匹配引导搜索,巡航模式,0.1229,0.1316,60,182,否,否,117.00,153,268
39,模板匹配引导搜索,巡航模式,0.1121,0.1238,60,185,否,否,120.00,153,268
40,模板匹配引导搜索,巡航模式,0.1121,0.1191,60,188,否,否,123.00,153,268
41,模板匹配引导搜索,巡航模式,0.1121,0.1163,59,191,否,否,126.00,153,268
42,模板匹配引导搜索,巡航模式,0.1121,0.1146,59,194,否,否,129.00,153,268
43,模板匹配引导搜索,巡航模式,0.1075,0.1117,59,197,否,否,132.00,153,268
44,模板匹配引导搜索,巡航模式,0.1075,0.1100,58,200,否,否,135.00,153,268
45,模板匹配引导搜索,巡航模式,0.1075,0.1090,58,203,否,否,138.00,153,268
46,模板匹配引导搜索,巡航模式,0.1075,0.1084,58,206,否,否,141.00,153,268
47,模板匹配引导搜索,巡航模式,0.1075,0.1080,58,209,否,否,144.00,153,268
48,模板匹配引导搜索,巡航模式,0.1075,0.1078,57,212,否,否,147.00,153,268
49,模板匹配引导搜索,巡航模式,0.0967,0.1034,57,215,否,否,150.00,153,268
50,模板匹配引导搜索,巡航模式,0.0902,0.0981,57,218,否,否,153.00,153,268
51,模板匹配引导搜索,巡航模式,0.0902,0.0949,56,221,否,否,156.00,153,268
52,模板匹配引导搜索,巡航模式,0.0902,0.0931,56,224,否,否,159.00,153,268
53,模板匹配引导搜索,巡航模式,0.0902,0.0919,56,227,否,否,162.00,153,268
54,模板匹配引导搜索,巡航模式,0.1015,0.0958,55,230,否,否,165.00,153,268
55,模板匹配引导搜索,巡航模式,0.1178,0.1046,55,233,否,否,168.00,153,268
56,模板匹配引导搜索,巡航模式,0.1259,0.1131,55,236,否,否,171.00,153,268
57,模板匹配引导搜索,巡航模式,0.1268,0.1186,55,239,否,否,174.00,153,268
58,模板匹配引导搜索,巡航模式,0.1310,0.1235,54,242,否,否,177.00,153,268
59,模板匹配引导搜索,巡航模式,0.1310,0.1265,54,245,否,否,180.00,153,268
60,模板匹配引导搜索,巡航模式,0.1310,0.1283,54,248,否,否,183.00,153,268
61,模板匹配引导搜索,巡航模式,0.1310,0.1294,53,251,否,否,186.00,153,268
62,模板匹配引导搜索,巡航模式,0.1435,0.1350,53,254,否,否,189.00,153,268
63,模板匹配引导搜索,巡航模式,0.1514,0.1416,53,257,否,否,192.00,153,268
64,模板匹配引导搜索,巡航模式,0.1646,0.1508,52,260,否,否,195.00,153,268
65,模板匹配引导搜索,巡航模式,0.1814,0.1630,52,263,否,否,198.00,153,268
66,模板匹配引导搜索,巡航模式,0.1814,0.1703,52,266,否,否,201.00,153,268
67,模板匹配引导搜索,巡航模式,0.1814,0.1747,52,269,否,否,204.00,153,268
68,模板匹配引导搜索,巡航模式,0.1824,0.1778,53,272,否,否,207.00,153,268
69,模板匹配引导搜索,巡航模式,0.1824,0.1796,54,274,否,否,210.00,153,268
70,模板匹配引导搜索,巡航模式,0.1824,0.1807,56,277,否,否,213.00,153,268
