实验组,算法,回合,随机种子,是否成功,已发现目标数,总目标数,发现率,结束帧数,结束距离,停止原因,是否使用GridMap,地图宽度,地图高度,栅格大小,障碍物密度
GridMap搜索实验,random,0,200,1,3,3,1.0,2560,7641.0,success,1,1000,800,20,0.02
GridMap搜索实验,random,1,201,0,2,3,0.6667,5000,14916.0,timeout,1,1000,800,20,0.02
GridMap搜索实验,random,2,202,1,3,3,1.0,3161,9456.0,success,1,1000,800,20,0.02
GridMap搜索实验,random,3,203,1,3,3,1.0,4644,13905.0,success,1,1000,800,20,0.02
GridMap搜索实验,random,4,204,1,3,3,1.0,4213,12567.0,success,1,1000,800,20,0.02
GridMap搜索实验,coverage,0,200,1,3,3,1.0,4920,14760.0,success,1,1000,800,20,0.02
GridMap搜索实验,coverage,1,201,1,3,3,1.0,3702,11106.0,success,1,1000,800,20,0.02
GridMap搜索实验,coverage,2,202,1,3,3,1.0,5419,16257.0,success,1,1000,800,20,0.02
GridMap搜索实验,coverage,3,203,1,3,3,1.0,4115,12345.0,success,1,1000,800,20,0.02
GridMap搜索实验,coverage,4,204,1,3,3,1.0,4662,13986.0,success,1,1000,800,20,0.02
GridMap搜索实验,frontier,0,200,1,3,3,1.0,1475,4425.0,success,1,1000,800,20,0.02
GridMap搜索实验,frontier,1,201,1,3,3,1.0,927,2781.0,success,1,1000,800,20,0.02
GridMap搜索实验,frontier,2,202,1,3,3,1.0,946,2838.0,success,1,1000,800,20,0.02
GridMap搜索实验,frontier,3,203,1,3,3,1.0,833,2499.0,success,1,1000,800,20,0.02
GridMap搜索实验,frontier,4,204,1,3,3,1.0,1767,5301.0,success,1,1000,800,20,0.02
GridMap搜索实验,information_gain,0,200,1,3,3,1.0,1276,3825.3,success,1,1000,800,20,0.02
GridMap搜索实验,information_gain,1,201,1,3,3,1.0,1754,5246.7,success,1,1000,800,20,0.02
GridMap搜索实验,information_gain,2,202,1,3,3,1.0,2381,7120.5,success,1,1000,800,20,0.02
GridMap搜索实验,information_gain,3,203,1,3,3,1.0,1597,4786.5,success,1,1000,800,20,0.02
GridMap搜索实验,information_gain,4,204,1,3,3,1.0,1394,4177.5,success,1,1000,800,20,0.02
视觉搜索实验,随机搜索,1,20261417,1,1,1,1.0,255,768.0,success,0,1200,800,,0.0
视觉搜索实验,模板匹配引导搜索,1,20261417,1,1,1,1.0,911,2736.0,success,0,1200,800,,0.0
视觉搜索实验,随机搜索,2,20262426,1,1,1,1.0,979,2940.0,success,0,1200,800,,0.0
视觉搜索实验,模板匹配引导搜索,2,20262426,1,1,1,1.0,551,1656.0,success,0,1200,800,,0.0
视觉搜索实验,随机搜索,3,20263435,1,1,1,1.0,2027,6084.0,success,0,1200,800,,0.0
视觉搜索实验,模板匹配引导搜索,3,20263435,1,1,1,1.0,727,2184.0,success,0,1200,800,,0.0
视觉搜索实验,随机搜索,4,20264444,1,1,1,1.0,1453,4362.0,success,0,1200,800,,0.0
视觉搜索实验,模板匹配引导搜索,4,20264444,0,0,1,0.0,19999,60000.0,timeout,0,1200,800,,0.0
视觉搜索实验,随机搜索,5,20265453,1,1,1,1.0,348,1047.0,success,0,1200,800,,0.0
视觉搜索实验,模板匹配引导搜索,5,20265453,1,1,1,1.0,530,1593.0,success,0,1200,800,,0.0
