时间帧,x坐标,y坐标,累计距离,已发现目标数,是否完成
0,372,489,3.0,0,0
1,371,492,6.0,0,0
2,370,495,9.0,0,0
3,368,493,12.0,0,0
4,371,492,15.0,0,0
5,374,492,18.0,0,0
6,371,490,21.0,0,0
7,374,489,24.0,0,0
8,374,486,27.0,0,0
9,376,484,30.0,0,0
10,375,487,33.0,0,0
11,374,490,36.0,0,0
12,373,493,39.0,0,0
13,372,496,42.0,0,0
14,372,498,45.0,0,0
15,369,498,48.0,0,0
16,366,500,51.0,0,0
17,365,503,54.0,0,0
18,364,505,57.0,0,0
19,365,508,60.0,0,0
20,367,510,63.0,0,0
21,367,513,66.0,0,0
22,368,516,69.0,0,0
23,369,519,72.0,0,0
24,371,521,75.0,0,0
25,373,524,78.0,0,0
26,374,526,81.0,0,0
27,376,529,84.0,0,0
28,377,531,87.0,0,0
29,379,534,90.0,0,0
30,381,536,93.0,0,0
31,382,539,96.0,0,0
32,385,540,99.0,0,0
33,386,543,102.0,0,0
34,387,545,105.0,0,0
35,389,548,108.0,0,0
36,391,550,111.0,0,0
37,392,553,114.0,0,0
38,393,556,117.0,0,0
39,395,558,120.0,0,0
40,396,560,123.0,0,0
41,398,563,126.0,0,0
42,399,566,129.0,0,0
43,400,569,132.0,0,0
44,402,571,135.0,0,0
45,404,573,138.0,0,0
46,406,576,141.0,0,0
47,407,578,144.0,0,0
48,408,581,147.0,0,0
49,409,584,150.0,0,0
50,411,586,153.0,0,0
51,413,589,156.0,0,0
52,414,592,159.0,0,0
53,415,594,162.0,0,0
54,414,597,165.0,0,0
55,413,600,168.0,0,0
56,414,603,171.0,0,0
57,416,605,174.0,0,0
58,414,608,177.0,0,0
59,412,610,180.0,0,0
60,412,613,183.0,0,0
61,411,616,186.0,0,0
62,410,619,189.0,0,0
63,408,621,192.0,0,0
64,406,624,195.0,0,0
65,405,626,198.0,0,0
66,404,629,201.0,0,0
67,405,631,204.0,0,0
68,405,634,207.0,0,0
69,406,637,210.0,0,0
70,407,640,213.0,0,0
71,405,643,216.0,0,0
72,404,645,219.0,0,0
73,406,648,222.0,0,0
74,407,650,225.0,0,0
75,409,653,228.0,0,0
76,411,655,231.0,0,0
77,413,657,234.0,0,0
78,415,659,237.0,0,0
79,417,661,240.0,0,0
80,419,663,243.0,0,0
81,421,665,246.0,0,0
82,424,668,249.0,0,0
83,426,669,252.0,0,0
84,429,671,255.0,0,0
85,431,672,258.0,0,0
86,434,674,261.0,0,0
87,437,675,264.0,0,0
88,440,675,267.0,0,0
89,442,676,270.0,0,0
90,445,678,273.0,0,0
91,448,679,276.0,0,0
92,450,680,279.0,0,0
93,453,681,282.0,0,0
94,456,681,285.0,0,0
95,459,682,288.0,0,0
96,462,683,291.0,0,0
97,465,684,294.0,0,0
98,467,685,297.0,0,0
99,470,687,300.0,0,0
100,473,687,303.0,0,0
101,476,688,306.0,0,0
102,479,688,309.0,0,0
103,482,689,312.0,0,0
104,485,690,315.0,0,0
105,488,691,318.0,0,0
106,491,692,321.0,0,0
107,494,692,324.0,0,0
108,496,692,327.0,0,0
109,499,693,330.0,0,0
110,502,694,333.0,0,0
111,505,694,336.0,0,0
112,508,693,339.0,0,0
113,510,691,342.0,0,0
114,513,691,345.0,0,0
115,516,690,348.0,0,0
116,519,689,351.0,0,0
117,522,689,354.0,0,0
118,524,687,357.0,0,0
119,527,686,360.0,0,0
120,530,684,363.0,0,0
121,532,683,366.0,0,0
122,535,682,369.0,0,0
123,538,683,372.0,0,0
124,541,684,375.0,0,0
125,544,685,378.0,0,0
126,546,686,381.0,0,0
127,549,687,384.0,0,0
128,552,688,387.0,0,0
129,555,688,390.0,0,0
130,558,689,393.0,0,0
131,561,690,396.0,0,0
132,564,691,399.0,0,0
133,567,692,402.0,0,0
134,569,692,405.0,0,0
135,572,691,408.0,0,0
136,575,691,411.0,0,0
137,578,692,414.0,0,0
138,581,693,417.0,0,0
139,584,694,420.0,0,0
140,586,692,423.0,0,0
141,589,690,426.0,0,0
142,591,689,429.0,0,0
143,594,689,432.0,0,0
144,597,689,435.0,0,0
145,600,690,438.0,0,0
146,603,691,441.0,0,0
147,605,689,444.0,0,0
148,608,688,447.0,0,0
149,610,686,450.0,0,0
150,613,686,453.0,0,0
151,616,687,456.0,0,0
152,619,688,459.0,0,0
153,622,689,462.0,0,0
154,625,690,465.0,0,0
155,627,688,468.0,0,0
156,630,687,471.0,0,0
157,633,687,474.0,0,0
158,636,688,477.0,0,0
159,639,688,480.0,0,0
160,642,689,483.0,0,0
161,644,690,486.0,0,0
162,647,691,489.0,0,0
163,650,689,492.0,0,0
164,653,689,495.0,0,0
165,656,690,498.0,0,0
166,659,691,501.0,0,0
167,662,692,504.0,0,0
168,664,690,507.0,0,0
169,667,688,510.0,0,0
170,669,687,513.0,0,0
171,672,685,516.0,0,0
172,675,685,519.0,0,0
173,678,686,522.0,0,0
174,680,687,525.0,0,0
175,683,685,528.0,0,0
176,686,684,531.0,0,0
177,688,682,534.0,0,0
178,691,681,537.0,0,0
179,694,681,540.0,0,0
180,697,682,543.0,0,0
181,700,683,546.0,0,0
182,702,684,549.0,0,0
183,705,685,552.0,0,0
184,708,686,555.0,0,0
185,711,687,558.0,0,0
186,714,687,561.0,0,0
187,717,688,564.0,0,0
188,720,689,567.0,0,0
189,723,690,570.0,0,0
190,725,690,573.0,0,0
191,728,689,576.0,0,0
192,730,687,579.0,0,0
193,733,687,582.0,0,0
194,736,688,585.0,0,0
195,739,689,588.0,0,0
196,742,690,591.0,0,0
197,745,688,594.0,0,0
198,747,687,597.0,0,0
199,750,685,600.0,0,0
200,753,685,603.0,0,0
201,756,686,606.0,0,0
202,759,686,609.0,0,0
203,761,685,612.0,0,0
204,764,686,615.0,0,0
205,767,685,618.0,0,0
206,769,683,621.0,0,0
207,772,682,624.0,0,0
208,775,682,627.0,0,0
209,778,683,630.0,0,0
210,781,682,633.0,0,0
211,783,681,636.0,0,0
212,786,679,639.0,0,0
213,789,678,642.0,0,0
214,791,676,645.0,0,0
215,793,674,648.0,0,0
216,796,672,651.0,0,0
217,799,671,654.0,0,0
218,801,671,657.0,0,0
219,803,668,660.0,0,0
220,805,666,663.0,0,0
221,807,664,666.0,0,0
222,808,661,669.0,0,0
223,809,658,672.0,0,0
224,810,655,675.0,0,0
225,812,653,678.0,0,0
226,813,650,681.0,0,0
227,816,649,684.0,0,0
228,819,648,687.0,0,0
229,820,645,690.0,0,0
230,822,644,693.0,1,0
231,825,643,696.0,1,0
232,828,641,699.0,1,0
233,830,640,702.0,1,0
234,833,640,705.0,1,0
235,836,639,708.0,1,0
236,839,638,711.0,1,0
237,840,635,714.0,1,0
238,843,634,717.0,1,0
239,845,632,720.0,1,0
240,847,630,723.0,1,0
241,850,629,726.0,1,0
242,852,627,729.0,1,0
243,853,624,732.0,1,0
244,855,622,735.0,1,0
245,857,620,738.0,1,0
246,858,617,741.0,1,0
247,860,614,744.0,1,0
248,861,612,747.0,1,0
249,863,609,750.0,1,0
250,865,607,753.0,1,0
251,867,605,756.0,1,0
252,867,602,759.0,1,0
253,868,599,762.0,1,0
254,869,596,765.0,1,0
255,871,593,768.0,1,0
256,872,591,771.0,1,0
257,874,588,774.0,1,0
258,874,585,777.0,1,0
259,874,582,780.0,1,0
260,875,579,783.0,1,0
261,876,577,786.0,1,0
262,878,574,789.0,1,0
263,879,571,792.0,1,0
264,877,569,795.0,1,0
265,877,566,798.0,1,0
266,876,563,801.0,1,0
267,875,560,804.0,1,0
268,874,557,807.0,1,0
269,873,555,810.0,1,0
270,872,552,813.0,1,0
271,870,550,816.0,1,0
272,868,547,819.0,1,0
273,868,544,822.0,1,0
274,865,542,825.0,1,0
275,863,540,828.0,1,0
276,862,537,831.0,1,0
277,861,535,834.0,1,0
278,859,532,837.0,1,0
279,857,530,840.0,1,0
280,856,527,843.0,1,0
281,854,525,846.0,1,0
282,853,522,849.0,1,0
283,852,519,852.0,1,0
284,850,517,855.0,1,0
285,848,515,858.0,1,0
286,847,512,861.0,1,0
287,845,510,864.0,1,0
288,843,507,867.0,1,0
289,843,504,870.0,1,0
290,842,501,873.0,1,0
291,841,498,876.0,1,0
292,840,496,879.0,1,0
293,839,493,882.0,1,0
294,837,490,885.0,1,0
295,836,488,888.0,1,0
296,835,485,891.0,1,0
297,834,482,894.0,1,0
298,833,479,897.0,1,0
299,832,476,900.0,1,0
300,831,474,903.0,1,0
301,829,471,906.0,1,0
302,828,469,909.0,1,0
303,828,466,912.0,1,0
304,827,463,915.0,1,0
305,828,460,918.0,1,0
306,829,457,921.0,1,0
307,830,455,924.0,1,0
308,832,452,927.0,1,0
309,833,449,930.0,1,0
310,832,447,933.0,1,0
311,831,444,936.0,1,0
312,831,441,939.0,1,0
313,830,438,942.0,1,0
314,828,436,945.0,1,0
315,827,433,948.0,1,0
316,825,430,951.0,1,0
317,824,428,954.0,1,0
318,823,425,957.0,1,0
319,823,422,960.0,1,0
320,821,419,963.0,1,0
321,820,417,966.0,1,0
322,819,414,969.0,1,0
323,818,411,972.0,1,0
324,816,409,975.0,1,0
325,814,406,978.0,1,0
326,812,404,981.0,1,0
327,811,401,984.0,1,0
328,810,398,987.0,1,0
329,809,396,990.0,1,0
330,807,393,993.0,1,0
331,806,390,996.0,1,0
332,804,388,999.0,1,0
333,804,385,1002.0,1,0
334,802,383,1005.0,1,0
335,799,382,1008.0,1,0
336,796,380,1011.0,1,0
337,793,379,1014.0,1,0
338,792,376,1017.0,1,0
339,791,374,1020.0,1,0
340,789,371,1023.0,1,0
341,788,369,1026.0,1,0
342,786,366,1029.0,1,0
343,784,364,1032.0,1,0
344,782,362,1035.0,1,0
345,780,359,1038.0,1,0
346,779,356,1041.0,1,0
347,778,354,1044.0,1,0
348,777,351,1047.0,1,0
349,775,349,1050.0,1,0
350,773,346,1053.0,1,0
351,771,344,1056.0,1,0
352,770,341,1059.0,1,0
353,768,339,1062.0,1,0
354,767,336,1065.0,1,0
355,765,334,1068.0,1,0
356,764,331,1071.0,1,0
357,761,330,1074.0,1,0
358,759,328,1077.0,1,0
359,756,327,1080.0,1,0
360,754,325,1083.0,1,0
361,751,324,1086.0,1,0
362,748,322,1089.0,1,0
363,746,320,1092.0,1,0
364,744,318,1095.0,1,0
365,742,316,1098.0,1,0
366,740,313,1101.0,1,0
367,739,311,1104.0,1,0
368,737,308,1107.0,1,0
369,735,306,1110.0,1,0
370,734,304,1113.0,1,0
371,733,301,1116.0,1,0
372,732,298,1119.0,1,0
373,731,295,1122.0,1,0
374,729,293,1125.0,1,0
375,728,290,1128.0,1,0
376,726,288,1131.0,1,0
377,725,285,1134.0,1,0
378,723,283,1137.0,1,0
379,723,280,1140.0,1,0
380,721,277,1143.0,1,0
381,720,274,1146.0,1,0
382,719,271,1149.0,1,0
383,717,269,1152.0,1,0
384,715,267,1155.0,1,0
385,713,264,1158.0,1,0
386,712,262,1161.0,1,0
387,711,259,1164.0,1,0
388,709,257,1167.0,1,0
389,707,255,1170.0,1,0
390,704,253,1173.0,1,0
391,706,251,1176.0,1,0
392,708,248,1179.0,1,0
393,708,245,1182.0,1,0
394,709,242,1185.0,1,0
395,710,239,1188.0,1,0
396,712,238,1191.0,1,0
397,713,235,1194.0,1,0
398,715,232,1197.0,1,0
399,716,230,1200.0,1,0
400,718,227,1203.0,1,0
401,720,225,1206.0,1,0
402,722,223,1209.0,1,0
403,724,220,1212.0,1,0
404,726,218,1215.0,1,0
405,727,215,1218.0,1,0
406,729,214,1221.0,1,0
407,732,212,1224.0,1,0
408,734,210,1227.0,1,0
409,736,208,1230.0,1,0
410,738,206,1233.0,1,0
411,741,205,1236.0,1,0
412,744,203,1239.0,1,0
413,746,202,1242.0,1,0
414,749,201,1245.0,1,0
415,751,199,1248.0,1,0
416,754,197,1251.0,1,0
417,756,195,1254.0,1,0
418,759,194,1257.0,1,0
419,762,193,1260.0,1,0
420,763,190,1263.0,1,0
421,766,189,1266.0,1,0
422,769,187,1269.0,1,0
423,771,186,1272.0,1,0
424,774,184,1275.0,1,0
425,776,182,1278.0,1,0
426,778,180,1281.0,1,0
427,781,179,1284.0,1,0
428,783,178,1287.0,1,0
429,786,176,1290.0,1,0
430,789,175,1293.0,1,0
431,791,173,1296.0,1,0
432,794,173,1299.0,1,0
433,797,172,1302.0,1,0
434,800,171,1305.0,1,0
435,802,169,1308.0,1,0
436,804,167,1311.0,1,0
437,807,166,1314.0,1,0
438,809,164,1317.0,1,0
439,812,163,1320.0,1,0
440,815,162,1323.0,1,0
441,818,162,1326.0,1,0
442,821,160,1329.0,1,0
443,823,159,1332.0,1,0
444,826,158,1335.0,1,0
445,829,156,1338.0,1,0
446,831,154,1341.0,1,0
447,834,154,1344.0,1,0
448,837,153,1347.0,1,0
449,840,152,1350.0,1,0
450,842,154,1353.0,1,0
451,844,151,1356.0,1,0
452,847,150,1359.0,1,0
453,849,148,1362.0,1,0
454,852,146,1365.0,1,0
455,854,145,1368.0,1,0
456,856,143,1371.0,1,0
457,858,141,1374.0,1,0
458,861,138,1377.0,1,0
459,863,136,1380.0,1,0
460,865,134,1383.0,1,0
461,867,136,1386.0,1,0
462,869,139,1389.0,1,0
463,870,141,1392.0,1,0
464,872,144,1395.0,1,0
465,873,146,1398.0,1,0
466,875,149,1401.0,1,0
467,876,152,1404.0,1,0
468,878,154,1407.0,1,0
469,879,157,1410.0,1,0
470,881,160,1413.0,1,0
471,882,162,1416.0,1,0
472,883,165,1419.0,1,0
473,884,168,1422.0,1,0
474,885,171,1425.0,1,0
475,886,173,1428.0,1,0
476,887,176,1431.0,1,0
477,888,179,1434.0,1,0
478,889,182,1437.0,1,0
479,890,185,1440.0,1,0
480,891,188,1443.0,1,0
481,892,191,1446.0,1,0
482,892,194,1449.0,1,0
483,893,196,1452.0,1,0
484,894,199,1455.0,1,0
485,894,202,1458.0,1,0
486,895,205,1461.0,1,0
487,896,208,1464.0,1,0
488,896,211,1467.0,1,0
489,897,214,1470.0,1,0
490,897,217,1473.0,1,0
491,898,220,1476.0,1,0
492,898,223,1479.0,1,0
493,899,226,1482.0,1,0
494,899,229,1485.0,1,0
495,900,232,1488.0,1,0
496,900,235,1491.0,1,0
497,901,238,1494.0,1,0
498,901,241,1497.0,1,0
499,901,244,1500.0,1,0
500,902,247,1503.0,1,0
501,902,250,1506.0,1,0
502,902,253,1509.0,1,0
503,904,255,1512.0,1,0
504,904,258,1515.0,1,0
505,904,261,1518.0,1,0
506,904,264,1521.0,1,0
507,905,267,1524.0,1,0
508,905,270,1527.0,1,0
509,905,273,1530.0,1,0
510,905,276,1533.0,1,0
511,905,279,1536.0,1,0
512,906,282,1539.0,1,0
513,906,285,1542.0,1,0
514,906,288,1545.0,1,0
515,906,291,1548.0,1,0
516,906,294,1551.0,1,0
517,906,297,1554.0,1,0
518,906,300,1557.0,1,0
519,907,303,1560.0,1,0
520,907,306,1563.0,1,0
521,907,309,1566.0,1,0
522,907,312,1569.0,1,0
523,907,315,1572.0,1,0
524,907,318,1575.0,1,0
525,907,321,1578.0,1,0
526,907,324,1581.0,1,0
527,907,327,1584.0,1,0
528,908,330,1587.0,1,0
529,908,333,1590.0,1,0
530,908,336,1593.0,1,0
531,909,339,1596.0,1,0
532,910,342,1599.0,1,0
533,911,345,1602.0,1,0
534,912,348,1605.0,1,0
535,913,351,1608.0,1,0
536,913,353,1611.0,1,0
537,913,356,1614.0,1,0
538,913,359,1617.0,1,0
539,910,359,1620.0,1,0
540,907,359,1623.0,1,0
541,904,359,1626.0,1,0
542,901,359,1629.0,1,0
543,898,359,1632.0,1,0
544,895,359,1635.0,1,0
545,892,359,1638.0,1,0
546,889,358,1641.0,1,0
547,886,358,1644.0,1,0
548,883,358,1647.0,1,0
549,880,358,1650.0,1,0
550,877,358,1653.0,1,0
551,874,358,1656.0,1,0
552,871,358,1659.0,1,0
553,868,358,1662.0,1,0
554,865,357,1665.0,1,0
555,862,357,1668.0,1,0
556,859,357,1671.0,1,0
557,856,357,1674.0,1,0
558,853,357,1677.0,1,0
559,850,357,1680.0,1,0
560,847,357,1683.0,1,0
561,844,357,1686.0,1,0
562,841,356,1689.0,1,0
563,838,356,1692.0,1,0
564,835,356,1695.0,1,0
565,832,356,1698.0,1,0
566,829,356,1701.0,1,0
567,826,356,1704.0,1,0
568,823,356,1707.0,1,0
569,820,356,1710.0,1,0
570,817,356,1713.0,1,0
571,814,355,1716.0,1,0
572,811,355,1719.0,1,0
573,808,355,1722.0,1,0
574,805,355,1725.0,1,0
575,802,355,1728.0,1,0
576,799,355,1731.0,1,0
577,796,355,1734.0,1,0
578,793,355,1737.0,1,0
579,790,354,1740.0,1,0
580,787,354,1743.0,1,0
581,784,354,1746.0,1,0
582,781,354,1749.0,1,0
583,778,354,1752.0,1,0
584,775,354,1755.0,1,0
585,772,354,1758.0,1,0
586,769,354,1761.0,1,0
587,766,353,1764.0,1,0
588,763,353,1767.0,1,0
589,760,353,1770.0,1,0
590,758,355,1773.0,1,0
591,755,356,1776.0,1,0
592,752,357,1779.0,1,0
593,750,359,1782.0,1,0
594,747,361,1785.0,1,0
595,745,363,1788.0,1,0
596,743,364,1791.0,1,0
597,740,365,1794.0,1,0
598,737,366,1797.0,1,0
599,735,369,1800.0,1,0
600,733,370,1803.0,1,0
601,730,372,1806.0,1,0
602,728,374,1809.0,1,0
603,725,374,1812.0,1,0
604,723,376,1815.0,1,0
605,720,378,1818.0,1,0
606,718,380,1821.0,1,0
607,715,381,1824.0,1,0
608,712,382,1827.0,1,0
609,711,385,1830.0,1,0
610,709,387,1833.0,1,0
611,707,390,1836.0,1,0
612,706,392,1839.0,1,0
613,703,393,1842.0,1,0
614,700,393,1845.0,1,0
615,697,395,1848.0,1,0
616,695,396,1851.0,1,0
617,692,398,1854.0,1,0
618,689,399,1857.0,1,0
619,687,401,1860.0,1,0
